INDICATIVO;A�O;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN
B087X;2019;1;11;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;61;58;59;62;75;47
B087X;2019;1;12;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;57;65;69;69;73;54
B087X;2019;1;13;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;71;78;66;76;83;62
B087X;2019;1;14;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;84;92;81;81;94;72
B087X;2019;1;15;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;80;95;77;89;95;67
B087X;2019;1;16;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;83;60;77;89;60
B087X;2019;1;17;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;87;86;96;100;70
B087X;2019;1;18;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;93;78;81;91;96;74
B087X;2019;1;19;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;94;90;72;86;94;68
B087X;2019;1;20;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;69;85;88;97;98;64
B087X;2019;1;21;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;84;74;69;81;95;67
B087X;2019;1;22;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;93;76;61;64;93;59
B087X;2019;1;23;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;73;67;75;67;79;64
B087X;2019;1;24;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;71;52;56;47;81;46
B087X;2019;1;25;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;53;68;46;62;86;43
B087X;2019;1;26;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;86;95;78;61;96;53
B087X;2019;1;27;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;61;64;65;56;79;48
B087X;2019;1;28;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;60;66;69;68;74;57
B087X;2019;1;29;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;74;68;69;65;82;61
B087X;2019;1;30;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;62;65;58;55;68;42
B087X;2019;1;31;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;54;62;61;58;70;53
B103B;2019;1;1;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;100;69;94;100;67
B103B;2019;1;2;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;98;100;55;91;100;38
B103B;2019;1;3;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;50;61;50;75;95;46
B103B;2019;1;4;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;98;59;79;100;59
B103B;2019;1;5;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;88;95;67;86;99;67
B103B;2019;1;6;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;99;72;30;71;100;29
B103B;2019;1;7;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;97;62;93;97;60
B103B;2019;1;8;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;98;65;89;100;65
B103B;2019;1;9;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;88;77;58;59;88;55
B103B;2019;1;10;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;73;69;73;60;92;46
B103B;2019;1;11;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;55;77;54;76;83;51
B103B;2019;1;12;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;84;87;57;80;91;54
B103B;2019;1;13;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;73;92;62;72;94;60
B103B;2019;1;14;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;76;83;70;68;91;59
B103B;2019;1;15;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;92;63;87;97;62
B103B;2019;1;16;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;71;64;67;98;61
B103B;2019;1;17;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;73;93;65;93;98;64
B103B;2019;1;18;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;99;87;95;99;77
B103B;2019;1;19;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;98;100;63;90;100;63
B103B;2019;1;20;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;81;96;82;88;99;71
B103B;2019;1;21;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;70;62;65;91;97;53
B103B;2019;1;22;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;97;57;55;98;51
B103B;2019;1;23;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;66;61;62;57;73;53
B103B;2019;1;24;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;60;35;37;36;65;32
B103B;2019;1;25;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;52;78;35;84;96;33
B103B;2019;1;26;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;78;89;63;89;96;62
B103B;2019;1;27;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;93;99;54;47;100;44
B103B;2019;1;28;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;53;60;57;57;64;47
B103B;2019;1;29;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;64;62;61;70;75;51
B103B;2019;1;30;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;59;51;53;54;86;41
B103B;2019;1;31;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;61;71;70;71;81;56
B087X;2019;4;17;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;77;85;81;81;92;31
B087X;2019;4;21;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;73;81;95;86;97;73
B087X;2019;4;28;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;55;51;76;81;88;49
B103B;2019;4;23;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;97;71;79;97;65
B103B;2019;4;24;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;76;51;53;69;81;48
B103B;2019;4;28;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;88;85;55;75;93;47
B013X;2019;4;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;77;70;22;70;84;18
B013X;2019;4;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;46;43;42;40;56;38
B013X;2019;4;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;51;68;43;71;87;39
B013X;2019;4;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;83;56;78;89;40
B013X;2019;4;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;38;72;68;82;86;38
B013X;2019;4;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;85;90;85;82;90;60
B013X;2019;4;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;61;51;61;66;88;51
B013X;2019;4;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;88;89;88;89;86
B013X;2019;4;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;89;89;89;89;87
B013X;2019;4;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;51;61;89;45
B013X;2019;4;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;76;46;37;36;88;36
B013X;2019;4;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;73;77;84;77;84;38
B013X;2019;4;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;50;55;38;48;86;36
B013X;2019;4;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;85;83;37;38;90;32
B013X;2019;4;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;80;74;70;79;89;41
B013X;2019;4;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;59;70;73;89;51
