INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN;
B013X;2018;8;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;85;79;89;56;
B013X;2018;8;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;87;85;63;89;48;
B013X;2018;8;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;81;78;85;58;88;36;
B013X;2018;8;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;85;79;85;59;88;45;
B013X;2018;8;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;88;85;71;88;35;
B013X;2018;8;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;85;65;89;37;
B013X;2018;8;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;85;84;85;69;88;47;
B013X;2018;8;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;89;85;80;89;62;
B013X;2018;8;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;78;71;85;66;88;58;
B013X;2018;8;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;85;68;89;49;
B013X;2018;8;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;85;80;89;40;
B013X;2018;8;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;74;85;80;88;50;
B013X;2018;8;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;80;85;65;89;52;
B013X;2018;8;31;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;88;85;72;88;54;
B087X;2018;8;1;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;93;82;79;98;75;
B087X;2018;8;2;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;75;78;76;85;67;
B087X;2018;8;3;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;66;80;83;89;64;
B087X;2018;8;4;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;76;60;63;73;80;45;
B087X;2018;8;5;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;50;42;73;74;77;42;
B087X;2018;8;6;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;77;71;78;69;86;56;
B087X;2018;8;7;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;68;62;65;81;82;62;
B087X;2018;8;8;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;82;69;69;79;84;63;
B087X;2018;8;9;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;55;71;78;85;53;
B087X;2018;8;10;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;85;61;86;0;89;47;
B087X;2018;8;11;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;85;78;73;73;89;58;
B087X;2018;8;12;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;85;73;71;76;85;66;
B087X;2018;8;13;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;72;68;68;79;91;48;
B087X;2018;8;14;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;90;92;71;71;100;64;
B087X;2018;8;15;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;83;54;60;64;91;51;
B087X;2018;8;16;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;75;68;66;90;62;
B087X;2018;8;17;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;83;75;94;81;100;67;
B087X;2018;8;18;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;84;86;81;64;94;62;
B087X;2018;8;19;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;73;74;63;58;97;54;
B087X;2018;8;20;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;74;81;67;59;94;53;
B087X;2018;8;21;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;55;67;69;67;88;55;
B087X;2018;8;22;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;86;75;70;58;86;57;
B087X;2018;8;23;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;79;86;70;68;96;61;
B087X;2018;8;24;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;68;66;72;77;78;57;
B087X;2018;8;25;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;72;89;71;76;97;66;
B087X;2018;8;26;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;79;68;66;66;85;58;
B087X;2018;8;27;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;85;77;64;71;93;62;
B087X;2018;8;28;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;91;83;78;54;97;48;
B087X;2018;8;29;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;82;72;86;0;92;50;
B087X;2018;8;30;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;89;62;67;69;92;57;
B087X;2018;8;31;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;66;53;69;81;53;
B103B;2018;8;1;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;89;76;49;65;94;46;
B103B;2018;8;2;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;70;59;48;93;39;
B103B;2018;8;3;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;81;67;44;70;NA;NA;
B103B;2018;8;4;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;80;43;28;62;81;26;
B103B;2018;8;5;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;57;52;46;34;85;28;
B103B;2018;8;6;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;85;75;62;72;92;57;
B103B;2018;8;7;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;86;76;57;67;86;53;
B103B;2018;8;8;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;75;69;53;66;79;50;
B103B;2018;8;9;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;72;72;55;73;83;41;
B103B;2018;8;10;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;66;57;63;70;78;43;
B103B;2018;8;11;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;78;72;54;70;88;54;
B103B;2018;8;12;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;82;72;56;63;92;50;
B103B;2018;8;13;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;82;74;56;67;91;51;
B103B;2018;8;14;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;58;47;74;92;45;
B103B;2018;8;15;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;70;60;44;48;80;42;
B103B;2018;8;16;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;79;81;54;59;92;53;
B103B;2018;8;17;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;84;69;91;83;95;65;
B103B;2018;8;18;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;72;62;56;94;52;
B103B;2018;8;19;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;90;69;50;42;91;40;
B103B;2018;8;20;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;83;78;54;36;91;36;
B103B;2018;8;21;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;73;67;47;54;87;40;
B103B;2018;8;22;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;87;92;40;50;94;35;
B103B;2018;8;23;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;86;94;42;67;94;40;
B103B;2018;8;24;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;82;93;61;68;95;54;
B103B;2018;8;25;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;93;56;61;95;48;
B103B;2018;8;26;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;71;62;51;63;81;47;
